DATE,PRESSURE_DATUM,Tank,oil_prod_cum,water_prod_cum,gas_prod_cum,oil_fvf,gas_fvf,gas_oil_rs_col
1981-08-15,3646.766251,tank_north,19267.483870967742,2049.3548387096776,19267.483870967742,1.133013597746383,0.041712745,89.0
1981-10-24,3626.623928,tank_north,31097.83870967742,5861.8387096774195,31097.83870967742,1.1217899783009049,0.041712745,89.0
1984-01-19,1555.990178,tank_south,546349.4106451613,83342.31483870969,546349.4106451613,1.1332522121799475,0.041712745,89.0
1987-02-02,3321.829085,tank_north,93844.18927621862,80439.87279172821,93844.18927621862,1.131918960717376,0.041712745,89.0
1987-09-24,3675.67101,tank_center,217615.26663333335,364476.4033,217615.26663333335,1.1197919448999765,0.041712745,89.0
1988-08-01,3510.402225,tank_north,97872.04821270311,81205.84546528803,97872.04821270311,1.1313214893973333,0.041712745,89.0
1993-03-30,1241.504114,tank_south,1820645.2703225806,230580.82419354838,1820645.2703225806,1.1273601286852009,0.041712745,89.0
1993-05-13,2591.089753,tank_north,120650.91677419355,83960.89161290323,120650.91677419355,1.1339533810976559,0.041712745,89.0
1994-01-27,2586.32978,tank_south,1890374.0122580645,247940.8887096774,1890374.0122580645,1.130070331687763,0.041712745,89.0
1995-06-21,1143.554613,tank_north,649814.82,93789.10666666667,649814.82,1.1383034012966986,0.041712745,89.0
1995-08-09,2443.80058,tank_center,1208005.3550391304,1514370.3380826085,1208005.3550391304,1.1200360849002036,0.041712745,89.0
1996-02-13,2768.192564,tank_center,1218151.0401965517,1516597.1446793103,1218151.0401965517,1.1372915575745826,0.041712745,89.0
1997-06-22,1979.036762,tank_center,1478806.4333000001,1659345.2033,1478806.4333000001,1.1384926351951077,0.041712745,89.0
1998-03-10,2684.046095,tank_south,1946621.6575501952,265492.4813733058,1946621.6575501952,1.1363534242246665,0.041712745,89.0
1998-03-12,1524.880926,tank_center,1706748.1558806452,1766135.0000741933,1706748.1558806452,1.1404965034048822,0.041712745,86.69864081842306
2002-05-25,2316.40494,tank_center,2441625.768783871,2112481.612977419,2441625.768783871,1.1385419530474628,0.041712745,89.0
2002-11-06,2193.242118,tank_center,2759456.3333,2180846.2366333334,2759456.3333,1.138591261155275,0.041712745,89.0
2002-12-03,2042.342826,tank_center,2814362.252654839,2194939.6774935485,2814362.252654839,1.1385419530474628,0.041712745,89.0
2003-11-16,977.1166283,tank_center,3527844.4633,2456701.4033,3527844.4633,1.1378865523250712,0.041712745,89.0
2005-09-08,893.0061296,tank_center,4436466.520966667,2861913.6843,4436466.520966667,1.1211657898931164,0.041712745,89.0
2005-11-26,624.8673944,tank_north,1730407.6866666668,623556.5566666665,1730407.6866666668,1.134569539182731,0.041712745,89.0
2006-09-19,1159.382442,tank_south,1961568.076,266588.778,1961568.076,1.1282317125643917,0.041712745,89.0
2006-09-21,1159.382442,tank_south,1962888.876,266639.5113333333,1962888.876,1.1292995785661024,0.041712745,89.0
2006-12-23,876.3892286,tank_center,4870796.759751613,3049978.60846129,4870796.759751613,1.120206214211498,0.041712745,89.0
2008-07-29,884.6968582,tank_center,5317363.696848387,3275024.3503967742,5317363.696848387,1.1363638867660448,0.041712745,89.0
2008-07-31,884.6968582,tank_center,5318759.567816129,3276172.092332258,5318759.567816129,1.1363638867660448,0.041712745,89.0
2010-12-05,1214.652407,tank_center,5886397.494912904,3736337.4645903227,5886397.494912904,1.1393480031788399,0.041712745,89.0
2011-01-07,926.4931325,tank_center,5913339.965558065,3748537.966203226,5913339.965558065,1.1400131134570597,0.041712745,89.0
2011-08-10,1163.128313,tank_center,6082851.523945161,3838652.1791064516,6082851.523945161,1.1332010536874162,0.041712745,89.0
2011-12-26,1132.491515,tank_center,6198254.217170968,3888240.562332258,6198254.217170968,1.1372328044406665,0.041712745,89.0
2012-01-11,1777.19786,tank_south,2450110.253096774,425151.6638064516,2450110.253096774,1.1282932190049375,0.041712745,89.0
2012-01-18,2332.03537,tank_south,2451884.884064516,425631.5318709677,2451884.884064516,1.1270335699649374,0.041712745,89.0
2012-05-15,1459.112218,tank_center,6312598.1574935485,3959547.486848387,6312598.1574935485,1.1374046440689114,0.041712745,89.0
2018-06-30,783.5506916,tank_center,6870705.3032775475,4508784.179909672,6870705.3032775475,1.1356627588664174,0.041712745,89.0
2018-08-28,816.85,tank_south,2615453.5176026532,486040.7119463045,2615453.5176026532,1.1363319057480925,0.041712745,89.0
2018-10-06,800.2,tank_center,6870729.529419171,4508796.629294819,6870729.529419171,1.138944643148,0.041712745,89.0
2018-10-08,767.17075,tank_south,2615461.2488351236,486041.90519393556,2615461.2488351236,1.136593472680547,0.041712745,89.0
2019-01-06,704.5980607,tank_center,6870776.569687096,4508821.105493548,6870776.569687096,1.13887151604694,0.041712745,89.0
2019-01-21,829.17075,tank_south,2615670.0292580645,486063.67641935486,2615670.0292580645,1.1313168888142453,0.041712745,89.0
2019-01-30,876.1796999,tank_center,6870899.129945161,4508885.54162258,6870899.129945161,1.1358920099334235,0.041712745,89.0
2019-02-09,885.9631585,tank_center,6871518.026283051,4509161.849333898,6871518.026283051,1.1254755622223103,0.041712745,89.0
2019-02-17,1037.480675,tank_center,6872126.709266101,4509432.7873677965,6872126.709266101,1.125505552565476,0.041712745,89.0
2019-03-08,1698.703,tank_center,6873572.331350847,4510076.265198305,6873572.331350847,1.13907656616,0.041712745,89.0
2019-03-08,1776.598061,tank_center,6873572.331350847,4510076.265198305,6873572.331350847,1.1385925047667775,0.041712745,89.0
2019-03-13,1441.720024,tank_center,6873952.758215254,4510245.601469492,6873952.758215254,1.1248898881867617,0.041712745,89.0
2019-03-14,922.6078983,tank_south,2616450.368975,487424.12480000005,2616450.368975,1.1272495171338284,0.041712745,89.0
2019-03-21,1369.550692,tank_center,6874561.441198304,4510516.53950339,6874561.441198304,1.136499019578519,0.041712745,89.0
2019-03-24,1050.726264,tank_center,6874789.697316948,4510618.141266102,6874789.697316948,1.1382736894343823,0.041712745,89.0
2019-04-09,1531.550692,tank_center,6878986.8635,4511777.343833334,6878986.8635,1.1264585905075255,0.041712745,89.0
2019-04-23,1057.607898,tank_south,2617108.247975,488741.0368,2617108.247975,1.1338048922499235,0.041712745,89.0
2019-04-25,1939.717198,tank_center,6886163.8299,4513553.8729,6886163.8299,1.138534437200618,0.041712745,89.0
2019-05-27,1160.607898,tank_south,2617667.445125,489860.412,2617667.445125,1.1392133915083758,0.041712745,89.0
2019-05-29,2184.550692,tank_center,6899843.229590323,4535878.405493548,6899843.229590323,1.124359721002726,0.041712745,89.0
2019-06-11,2362.550692,tank_center,6908513.764633333,4553549.143966666,6908513.764633333,1.1297687424534135,0.041712745,89.0
