Tank,START_DATETIME,PRESSURE_DATUM
tank_center,1988-09-01,3675.67101
tank_center,1989-09-01,
tank_center,1990-09-01,
tank_center,1991-09-01,
tank_center,1992-09-01,
tank_center,1993-09-01,
tank_center,1994-09-01,
tank_center,1995-09-01,2443.80058
tank_center,1996-09-01,2768.192564
tank_center,1997-09-01,1979.036762
tank_center,1998-09-01,1524.880926
tank_center,1999-09-01,
tank_center,2000-09-01,
tank_center,2001-09-01,
tank_center,2002-09-01,2316.40494
tank_center,2003-09-01,2012.1892616985745
tank_center,2004-09-01,977.1166282999999
tank_center,2005-09-01,
tank_center,2006-09-01,893.0061296
tank_center,2007-09-01,876.3892286
tank_center,2008-09-01,884.6968582
tank_center,2009-09-01,
tank_center,2010-09-01,
tank_center,2011-09-01,1131.2915666494941
tank_center,2012-09-01,1119.4851310108902
tank_center,2013-09-01,
tank_center,2014-09-01,
tank_center,2015-09-01,
tank_center,2016-09-01,
tank_center,2017-09-01,
tank_center,2018-09-01,783.5506915999999
tank_center,2019-09-01,1497.4980345741628
tank_north,1982-08-01,3626.396792897401
tank_north,1983-08-01,
tank_north,1984-08-01,
tank_north,1985-08-01,
tank_north,1986-08-01,
tank_north,1987-08-01,3321.829085
tank_north,1988-08-01,
tank_north,1989-08-01,3510.402225
tank_north,1990-08-01,
tank_north,1991-08-01,
tank_north,1992-08-01,
tank_north,1993-08-01,2591.0897529999997
tank_north,1994-08-01,
tank_north,1995-08-01,1143.5546130000002
tank_north,1996-08-01,
tank_north,1997-08-01,
tank_north,1998-08-01,
tank_north,1999-08-01,
tank_north,2000-08-01,
tank_north,2001-08-01,
tank_north,2002-08-01,
tank_north,2003-08-01,
tank_north,2004-08-01,
tank_north,2005-08-01,
tank_north,2006-08-01,624.8673944000001
tank_south,1985-01-01,1555.990178
tank_south,1986-01-01,
tank_south,1987-01-01,
tank_south,1988-01-01,
tank_south,1989-01-01,
tank_south,1990-01-01,
tank_south,1991-01-01,
tank_south,1992-01-01,
tank_south,1993-01-01,
tank_south,1994-01-01,1241.504114
tank_south,1995-01-01,2586.32978
tank_south,1996-01-01,
tank_south,1997-01-01,
tank_south,1998-01-01,
tank_south,1999-01-01,2684.046095
tank_south,2000-01-01,
tank_south,2001-01-01,
tank_south,2002-01-01,
tank_south,2003-01-01,
tank_south,2004-01-01,
tank_south,2005-01-01,
tank_south,2006-01-01,
tank_south,2007-01-01,1159.382442
tank_south,2008-01-01,
tank_south,2009-01-01,
tank_south,2010-01-01,
tank_south,2011-01-01,
tank_south,2012-01-01,
tank_south,2013-01-01,2054.616615
tank_south,2014-01-01,
tank_south,2015-01-01,
tank_south,2016-01-01,
tank_south,2017-01-01,
tank_south,2018-01-01,
tank_south,2019-01-01,792.0103750000001
tank_south,2020-01-01,1000.5011026550269
